codArt;nomArt;alto_cm;ancho_cm;largo _cm;Peso_kg;Ubicación
SA0124;AMIODARONA 200MG TABLETA;3,90;9,90;3,7;24,00;Comerciales
PX0264;QUETIAPINA 200MG TABLETA RECUBIERTA;12,60;9,90;11,40;267,00;Comerciales
AT0020;QUETIAPINA 200MG TABLETA;12,60;9,90;11,40;267,00;Comerciales
SA0119;DUPILUMAB 200MG/1,14ML (175,43MG/ML) SOLUCION INYECTABLE;3,70;9,80;19,50;76,00;Cadena de Frio
MK0106;MELOXICAM 15MG TABLETA;4,00;9,8;2,5;11,00;Carga Seca
GD0011;CETHAPIL CREMA HIDRATANTE 453G CREMA GEL TOPICO;9,50;9,70;9,70;510,00;Comerciales
PF0205;VACUNA CONJUGADA NEUMOCOCICA 13 VALENTE DIFTERIA CRM 197 PROTEINA SUSPENSION INYECTABLE;6,20;9,70;12,20;132,00;Cadena de Frio
SA0117;DUPILUMAB 300MG/2ML (150MG/ML) SOLUCION INYECTABLE;4,00;9,70;19,40;95,00;Cadena de Frio
AMG013;ADALIMUMAB 40MG/0,8ML SOLUCION INYECTABLE;3,00;9,70;17,20;118,00;Cadena de Frio
TE0183;BENZOCAINA + CETILPIRIDINIO 10MG+1,4MG TABLETA DE DISOLUCION BUCAL;14,30;9,70;12,40;250,00;Comerciales
TE0106;BENZOCAINA + CETILPIRIDINIO 10MG+1,4MG TABLETA DE DISOLUCION BUCAL;14,30;9,70;12,40;250,00;Comerciales
BB0005;GLUCONATO DE CALCIO 940MG/10ML (94MG/ML) (10%) SOLUCION INYECTABLE;7,5;9,7;11,5;322,00;Carga Seca
LS0085;VERAPAMILO 80MG TABLETA RECUBIERTA;4,2;9,7;3,5;28,00;Carga Seca
RC0046;TRASTUZUMAB 440MG POLVO LIOFILIZADO A SOLUCION INYECTABLE;5,20;9,60;9,10;109,00;Cadena de Frio
MK0055;COMPLEJO B + VITAMINA (B1+B2+B3+B6) TABLETA RECUBIERTA;4,00;9,50;13;120,00;Carga Seca
ORP009;PASIREOTIDA 60MG POLVO A SOLUCION INYECTABLE;4,00;9,50;21,80;100,00;Cadena de Frio
BY0128;AFLIBERCET 7,08MG/0.177ML (40MG/ML) SOLUCION INYECTABLE INTRAOCULAR;3;9,50;16,8;49,00;Cadena de Frio
CO0008;METRONIDAZOL 500MG OVULO VAGINAL;7,00;9,5;25;355,00;Carga Seca
PX0127;VALSARTAN + HIDROCLOROTIAZIDA + AMLODIPINO 160MG+12,5MG+10MG TABLETA RECUBIERTA;7,00;9,5;3,00;36,00;Carga Seca
SG0199;CARBONATO DE CALCIO + VITAMINA D3 1.250MG+330UI TABLETA RECUBIERTA;6,5;9,5;3,00;61,00;Carga Seca
PX0080;TRIMEBUTINA 50MG/5ML (10MG/ML) SOLUCION INYECTABLE;5,00;9,5;2,00;25,00;Carga Seca
ZB0017;SAFINAMIDA 100MG TABLETA RECUBIERTA;4,5;9,5;9,50;26,00;Comerciales
MK0205;LEVOFLOXACINA 500MG TABLETA RECUBIERTA;4,00;9,5;2,00;10,00;Carga Seca
TE0281;MAGALDRATO + SODIO ALGINATO + BICARBONATO + SIMETICONA (8G+5G+2,67G+1,2G) /100ML SUSPENSION ORAL;15,00;9,5;3,4;155,00;Carga Seca
TE0293;BENZOCAINA + CETILPIRIDINIO 10MG+1,4MG TABLETA DE DISOLUCION BUCAL;14,00;9,5;12,4;219,00;Comerciales
TE0181;BENZOCAINA + CETILPIRIDINIO 10MG+1,4MG TABLETA DE DISOLUCION BUCAL;13,00;9,5;12,00;215,00;Comerciales
BX0194;ONDANSETRON 8MG/4ML (2MG/ML) SOLUCION INYECTABLE;10,5;9,5;9,00;245,00;Carga Seca
NO0034;MICOFENOLATO 360MG TABLETA DE LIBERACION RETARDADA;10,2;9,5;15,5;167,00;Comerciales
PX0053;METRONIDAZOL 500MG CAPSULA BLANDA;7,2;9,3;5;89,00;Carga Seca
PX0168;COLECALCIFEROL (VITAMINA D3) 1.000UI CAPSULA BLANDA;9,00;9,2;6,5;80,00;Carga Seca
PX0222;TRIMEBUTINA + SIMETICONA 200MG+120MG TABLETA RECUBIERTA;7,2;9,2;6,00;106,00;Carga Seca
RY0031;BETAMETASONA + BETAMETASONA ACETATO (3MG+3MG) /ML SOLUCION INYECTABLE;4,00;9,2;9,2;186,00;Carga Seca
AT0087;BENRALIZUMAB 30MG/ML SOLUCION INYECTABLE;4,50;9,10;17,00;116,00;Cadena de Frio
BP0096;CITRICO ACIDO + OXIDO DE MAGNESIO LIGERO + PICOSULFATO LIGERO 12G+3,5G+10MG POLVO EFERVECENTE;16,40;9,10;9,10;96,00;Comerciales
FR0012;METFORMINA + SITAGLIPTINA 1.000MG+50MG TABLETA RECUBIERTA;9,5;9,00;14,00;127,00;Carga Seca
FR0030;METFORMINA + SITAGLIPTINA 850MG+50MG TABLETA RECUBIERTA;9,5;9,00;14,00;116,00;Carga Seca
